,id,longitud,latitud,cluster
1556,4977,-3666144075000,40496797893522,111
1557,4978,-3666976235487,40480536330576,247
1558,4979,-3666246353304,40459676856475,233
1559,4980,-3666264937058,40417926399955,181
1560,4981,-3666267832298,40396790604043,61
1561,4982,-3666268716996,40432390813779,264
1562,4983,-3666273075131,40404735346800,168
1563,4984,-3666276016661,40459728650096,233
1564,4985,-3666288022363,40459592136031,233
1565,4986,-3666320708099,40467985156238,103
1566,4987,-3666366639383,40435774047853,43
1567,4988,-3667106325912,40444941755872,253
1568,4989,-3666390147271,40404763116586,168
1569,4990,-3667097718748,40460071575151,233
1570,4992,-3667026280043,40458120114645,233
1571,4993,-3666799491783,40445660998610,253
1572,4994,-3666476901979,40469884362122,103
1573,4995,-3666493795545,40429217404398,264
1574,4996,-3666494615728,40404755154665,168
1575,4997,-3666496232327,40452382785116,153
1576,4998,-3666590623613,40454891956639,153
1577,4999,-3666633474873,40404336650206,168
1578,5000,-3666750380892,40463361259025,233
1579,5001,-3729455607275,40413348611188,222
1580,5002,-3729533067518,40487276984945,48
1581,5003,-3729599111804,40458785413657,91
1582,5004,-3729748181808,40408394511475,99
1583,5005,-3729830884678,40407815400128,99
1584,5006,-3729898878535,40489527817827,48
1585,5007,-3730305640118,40389509567516,190
1586,5008,-3730436618563,40412699111724,222
1587,5009,-3730676819240,40447161015226,143
1588,5010,-3729449686492,40414696505673,222
1589,5011,-3729442660874,40489507257354,48
1590,5012,-3729746745493,40386980497842,190
1591,5013,-3730773212694,40456149452330,91
1592,5014,-3730790197444,40424583931978,106
1593,5015,-3730826635900,40412825812678,222
1594,5016,-3730732072670,40429804057618,240
1595,5017,-3730885917809,40389031836527,190
1596,5018,-3729818980842,40414290480124,222
1597,5019,-3730172597623,40387588825515,190
1598,5020,-3730642631483,40447253563975,143
1599,5021,-3730234284078,40472471587833,89
1600,5022,-3730330109717,40456667747872,91
1601,5023,-3730377311044,40406145004229,99
1602,5024,-3730624614371,40388264822969,190
1603,5025,-3743243921780,40388233979281,8
1604,5026,-3743257570945,40390875399586,112
1605,5027,-3743268230936,40408300908100,262
1606,5028,-3743328430674,40408112559743,262
1607,5029,-3730704982037,40413040355750,222
1608,5030,-3731205559905,40438681170984,57
1609,5031,-3730516118691,40412252020054,222
1610,5032,-3730974553458,40388268827721,190
1611,5033,-3731008167951,40388222203737,190
1612,5034,-3730393494829,40412920604144,222
1613,5035,-3729865820324,40389469476879,190
1614,5036,-3682073232171,40396765996320,67
1615,5037,-3681084218909,40458596499683,58
1616,5038,-3681184440310,40357522934858,275
1617,5039,-3681191618611,40357029614791,275
1618,5040,-3681231853456,40386834779376,201
1619,5041,-3681248907683,40356474590006,275
1620,5042,-3681250887547,40440170368457,200
1621,5043,-3681271286426,40421377211014,114
1622,5044,-3681280146052,40423647698577,114
1623,5045,-3681284805536,40425032413180,114
1624,5046,-3681294407904,40457297973640,58
1625,5047,-3681315982397,40403611908806,183
1626,5048,-3681338981352,40421419834009,114
1627,5049,-3681397329488,40459472265499,58
1628,5050,-3681399822336,40468080098801,98
1629,5051,-3681485632673,40403427835993,183
1630,5052,-3681522157084,40459189583932,58
1631,5053,-3681563940541,40356949219242,275
1632,5054,-3681568688564,40407024477434,183
1633,5055,-3681589739571,40449985659882,116
1634,5056,-3681630064206,40457763601988,58
1635,5057,-3681643869880,40455804985344,58
1636,5058,-3681663490026,40396860851682,67
1637,5059,-3681671479629,40396751291628,67
1638,5060,-3681907828989,40450797004971,116
1639,5061,-3681976605483,40404640661707,183
1640,5063,-3682260327938,40397424527024,67
1641,5064,-3682286595105,40439397672249,200
