id;longitud;latitud
3595;-3655285096651;40496144869343
3596;-3657052299974;40438901896266
3597;-3769017024180;40391675546026
3598;-3770251227929;40392699881947
3599;-3770293498927;40392782686031
3600;-3773065082067;40395205494422
3601;-3621948631895;40390245174533
3602;-3622749623708;40396526766648
3603;-3623487013474;40455635927128
3604;-3660784867831;40444278174430
3605;-3661151623410;40437539427780
3606;-3664196809908;40508185203405
3607;-3690488211628;40453478315480
3608;-3690990434025;40439063206918
3609;-3715907340348;40337649957232
3610;-3716937795491;40481708545203
3611;-3748577967269;40385955052825
3612;-3691987927406;40465424420217
3613;-3692051763261;40456214078399
3614;-3741232780062;40386150779971
3615;-3741844500338;40476078814165
3616;-3705333633962;40404277141150
3618;-3736352446120;40410570068706
3619;-3631996823054;40460335089777
3620;-3632107415410;40462621120314
3621;-3626998917595;40422653533105
3622;-3637393726154;40399202487922
3623;-3647427992343;40433469892492
3624;-3647438674211;40428882351579
3625;-3648988618067;40446774120619
3626;-3649038620090;40435767652369
3627;-3649065727745;40412222853945
3628;-3731932855153;40373532438017
3629;-3732354358081;40400362954143
3630;-3666507550078;40447185977284
3631;-3666588851128;40403674189067
3632;-3666590071492;40404775761274
3633;-3683761590615;40445675938518
3634;-3683249565226;40436265502540
3635;-3683394537820;40458589275007
3636;-3720139204054;40369922590179
3637;-3742232897844;40475340825188
3638;-3654414605036;40492462029429
3639;-3654767622552;40457567652302
3640;-3742487949815;40372972166620
3641;-3742582179976;40363477271213
3642;-3696101240837;40377296771132
3643;-3669392779525;40459880921593
3644;-3672865011398;40480016847777
3645;-3672960630731;40478860497383
3646;-3675013235050;40434093943270
3647;-3675562962538;40427116021079
3648;-3685763522778;40504835025547
3649;-3685815638185;40490115557543
3650;-3652378066171;40450800304698
3651;-3651838295791;40444345831866
3652;-3625470557441;40450663521086
3653;-3601529386061;40453935917349
3654;-3601789329191;40367521455303
3655;-3682700757769;40383706633952
3656;-3689041046123;40416468651277
3657;-3689109799506;40464275561493
3658;-3689295372719;40385727075334
3659;-3690740262083;40484444490320
3660;-3690813558691;40450109192482
3661;-3702264268899;40404545480770
3662;-3697358420236;40474835970389
3663;-3697540744145;40488058854122
3664;-3706959971400;40393050882652
3665;-3707036847969;40463477803300
3666;-3707252872001;40349489065078
3667;-3698299939909;40455972707347
3668;-3698375704069;40459551819313
3669;-3612902342745;40421749530871
3670;-3613132917754;40420530998956
3671;-3617287212776;40379603475446
3672;-3624194816636;40447770009068
3674;-3638705930587;40430059211836
3675;-3651466096115;40374471935632
3676;-3651469974868;40374116659931
3677;-3671393120447;40387119168416
3678;-3725490839106;40422267608426
3679;-3707161488264;40379154067260
3680;-3709032714206;40372506385859
3681;-3709476837196;40450343325635
3682;-3666982182443;40463323805044
3683;-3601564093282;40368123357625
3684;-3681504365633;40458523971158
3685;-3681825621223;40422113918121
3686;-3681837972035;40397119803148
3687;-3683598801549;40431654052998
3688;-3716459917257;40430972162276
3689;-3660422590201;40434782521363
3690;-3660432677798;40431402550269
3691;-3604363579469;40366026328086
3692;-3605779085297;40384401741119
3693;-3635878924721;40435046894436
3694;-3636099831666;40477840745033
3695;-3687467264507;40383194342867
3696;-3687539934605;40494330568375
3697;-3668463703296;40398795299694
3698;-3707572344240;40425581356399
3699;-3713125811680;40454692917809
3700;-3712530685874;40407849212694
3702;-3729836047612;40405473971535
3703;-3783837856274;40460917520041
3704;-3783951295077;40462115621427
3705;-3783964621823;40461353036689
3706;-3792304462548;40378282891121
3707;-3736281396050;40476990464294
3708;-3655593789214;40432849060905
3709;-3707120101450;40396247688163
